Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Badminton duration (ms),Rowing machine duration (ms),Jogging duration (ms),Paced walking duration (ms)
2022-07-17,170,2274.7521648822867,8985.512746095657,101.0,81,,,,,,,,0.6235086332451207,3.055346965789795,0.2872999608516693,11248,,,,2218014,,3981507,1557134,,,,
2022-07-18,123,1728.6331671249045,7278.169841766357,70.0,44,,,,,,,,0.9081124307689301,2.0348241329193115,0.2520143389701843,9764,,,,,,1825108,,,,,
2022-07-19,,1612.2621599305187,,,,,,,,,,,,,,21,,,,,,,,,,,
2022-07-20,166,2199.9392674530463,9902.278574943542,78.0,65,,,,,,,,0.6108934831055528,2.1007418632507324,0.3287143409252167,12996,,,,,,3457006,2818367,,,,
2022-07-21,45,1991.5389645658327,5390.451454877853,59.0,33,,,,,,,,0.42102665433672243,3.872328042984009,0.3287143409252167,5536,,,,,,653769,1669142,,,,
2022-07-22,48,2087.142435403648,5882.302055597305,59.0,34,,,,,,,,0.8373597175299057,3.2927932739257812,0.2958429157733917,6088,73.48190307617188,73.48190307617188,73.48190307617188,,,1245972,2130432,,,,
2022-07-23,,1609.4323080503532,50.892269134521484,,,,,,,,,,0.3262324631214142,0.3262324631214142,0.3262324631214142,86,,,,,,32784,,,,,
2022-07-24,186,2813.1043243596932,16659.557391643524,167.0,115,,,,,,,,0.8033151397576367,2.944444417953491,0.26692894101142883,20141,,,,,,7817354,4268992,,,,
2022-07-25,7,1652.9107304635932,209.44125747680664,,,,,,,,,,0.3265971859780587,0.7243642807006836,0.3262324631214142,339,,,,,,886560,,,,,
2022-07-26,107,2269.745282964171,8614.876541733742,94.0,58,,,,,,,,0.8586446123248908,3.5211122035980225,0.31535804271698,9308,,,,944518,,1998643,2638287,,,,
2022-07-27,121,2231.8393760424797,10380.501888632774,107.0,61,,,,,,,,0.7081917615568665,3.452572822570801,0.29360923171043396,11933,,,,,,2636836,2680652,,,,
2022-07-28,117,1906.4269882866538,8849.808948516846,129.0,71,,,,,,,,1.3740312433905406,2.2124974727630615,0.3262324631214142,11332,,,,,,4651698,,,,,
2022-07-29,117,1821.944768748493,8124.2389969825745,90.0,58,,,,,,,,0.9767442850483036,2.008646249771118,0.26098597049713135,10607,,,,,,2958827,329101,,,,
